"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2019","245.56","246.30","246.46","244.32","1.36M","0.09%"
"Apr 16, 2019","245.34","246.65","246.82","244.25","1.36M","-0.40%"
"Apr 15, 2019","246.33","242.37","246.75","241.96","1.86M","1.81%"
"Apr 12, 2019","241.95","241.51","242.72","240.90","2.19M","0.29%"
"Apr 11, 2019","241.24","243.62","244.18","240.92","2.72M","-1.78%"
"Apr 10, 2019","245.61","245.28","246.67","244.71","1.56M","0.29%"
"Apr 09, 2019","244.91","245.11","245.68","244.00","1.45M","-0.65%"
"Apr 08, 2019","246.52","245.99","246.83","245.20","1.24M","0.26%"
"Apr 05, 2019","245.87","244.96","247.09","244.01","1.62M","0.60%"
"Apr 04, 2019","244.40","242.17","244.76","241.25","1.32M","0.79%"
"Apr 03, 2019","242.48","241.69","243.55","241.02","1.66M","0.82%"
"Apr 02, 2019","240.50","244.00","244.19","240.31","1.57M","-1.51%"
"Apr 01, 2019","244.19","243.07","244.41","242.58","1.61M","0.85%"
"Mar 29, 2019","242.14","241.66","242.44","240.77","1.97M","0.38%"
"Mar 28, 2019","241.22","239.98","241.95","239.58","1.40M","0.76%"
"Mar 27, 2019","239.41","238.71","240.21","238.16","1.35M","0.14%"
"Mar 26, 2019","239.07","238.00","240.25","237.36","1.19M","0.89%"
"Mar 25, 2019","236.97","236.93","238.08","235.78","1.36M","-0.25%"
"Mar 22, 2019","237.56","239.75","240.34","236.90","1.87M","-0.83%"
"Mar 21, 2019","239.54","236.68","239.85","236.55","1.62M","1.08%"
"Mar 20, 2019","236.98","237.03","238.49","235.78","1.50M","-0.03%"
"Mar 19, 2019","237.05","237.52","238.05","236.29","1.85M","0.19%"
"Mar 18, 2019","236.59","233.58","236.68","233.49","1.74M","1.28%"
"Mar 15, 2019","233.60","234.17","235.65","233.18","5.07M","-0.10%"
"Mar 14, 2019","233.84","236.13","236.38","233.28","2.30M","-1.07%"
"Mar 13, 2019","236.38","234.25","237.45","232.95","2.42M","1.47%"
"Mar 12, 2019","232.96","230.32","233.40","229.90","2.65M","1.42%"
"Mar 11, 2019","229.69","227.53","229.91","227.06","3.75M","0.82%"
"Mar 08, 2019","227.82","225.48","228.70","223.77","6.78M","5.09%"
"Mar 07, 2019","216.79","218.13","219.39","216.22","3.28M","-1.11%"
"Mar 06, 2019","219.23","220.50","221.91","218.23","1.99M","-0.27%"
"Mar 05, 2019","219.82","218.91","221.61","218.90","2.16M","0.65%"
"Mar 04, 2019","218.41","220.43","221.08","215.87","2.44M","-0.47%"
"Mar 01, 2019","219.44","219.76","220.57","215.77","2.18M","0.32%"
"Feb 28, 2019","218.74","218.49","219.69","217.52","2.06M","0.32%"
"Feb 27, 2019","218.05","216.51","218.86","216.45","1.48M","0.20%"
"Feb 26, 2019","217.61","216.89","218.91","216.13","1.88M","0.26%"
"Feb 25, 2019","217.05","217.37","219.09","216.55","1.79M","0.35%"
"Feb 22, 2019","216.29","215.17","216.59","214.25","1.54M","0.49%"
"Feb 21, 2019","215.23","216.60","216.72","214.33","1.62M","-0.87%"
"Feb 20, 2019","217.11","218.23","219.07","215.06","1.79M","-0.46%"
"Feb 19, 2019","218.12","216.67","219.60","216.51","1.94M","0.76%"
"Feb 15, 2019","216.47","215.15","217.25","214.04","2.64M","1.23%"
"Feb 14, 2019","213.84","212.00","214.54","211.14","1.41M","0.49%"
"Feb 13, 2019","212.80","212.23","213.50","211.29","1.70M","0.42%"
"Feb 12, 2019","211.90","210.06","212.75","209.25","2.09M","1.52%"
"Feb 11, 2019","208.72","208.65","208.92","206.76","2.38M","0.47%"
"Feb 08, 2019","207.75","207.83","208.49","205.75","2.01M","-0.62%"
"Feb 07, 2019","209.05","210.07","210.10","206.27","2.53M","-1.21%"
"Feb 06, 2019","211.60","212.26","212.26","210.48","1.62M","-0.00%"
"Feb 05, 2019","211.61","211.49","212.52","209.64","2.07M","0.20%"
"Feb 04, 2019","211.18","210.70","211.19","207.90","1.63M","0.43%"
"Feb 01, 2019","210.27","214.00","215.00","209.37","3.45M","-2.03%"
"Jan 31, 2019","214.63","211.14","214.88","209.72","4.34M","1.55%"
"Jan 30, 2019","211.35","210.48","212.17","209.32","1.59M","0.49%"
"Jan 29, 2019","210.31","210.32","210.54","208.57","1.64M","-0.22%"
"Jan 28, 2019","210.77","208.68","210.79","207.31","2.00M","0.81%"
"Jan 25, 2019","209.07","212.03","212.32","208.74","2.25M","-0.59%"
"Jan 24, 2019","210.31","212.39","212.39","208.90","1.99M","-0.84%"
"Jan 23, 2019","212.09","213.00","214.84","210.00","2.22M","-0.15%"
"Jan 22, 2019","212.40","213.00","215.56","210.80","3.31M","-0.56%"
"Jan 18, 2019","213.59","212.56","214.16","211.77","2.12M","1.01%"
"Jan 17, 2019","211.46","209.87","211.65","209.65","1.52M","0.61%"
"Jan 16, 2019","210.18","211.46","211.46","209.50","1.46M","-0.40%"
"Jan 15, 2019","211.03","210.04","211.34","209.08","1.68M","0.97%"
"Jan 14, 2019","209.00","209.47","210.65","208.16","1.52M","-0.72%"
"Jan 11, 2019","210.51","210.04","211.25","209.31","1.86M","-0.06%"
"Jan 10, 2019","210.64","208.15","210.90","206.00","2.34M","0.35%"
"Jan 09, 2019","209.90","209.15","211.22","207.92","1.86M","0.65%"
"Jan 08, 2019","208.55","208.65","209.08","204.18","2.37M","0.75%"
"Jan 07, 2019","207.00","205.52","209.12","203.54","2.23M","0.37%"
"Jan 04, 2019","206.24","203.08","207.93","201.45","2.76M","2.90%"
"Jan 03, 2019","200.42","203.70","205.94","200.04","2.88M","-2.12%"
"Jan 02, 2019","204.76","200.50","205.10","199.85","2.14M","0.52%"
"Dec 31, 2018","203.71","203.38","204.39","201.38","1.73M","0.83%"
"Dec 28, 2018","202.04","201.82","204.95","199.59","2.04M","0.48%"
"Dec 27, 2018","201.08","196.96","201.13","193.96","2.71M","1.23%"
"Dec 26, 2018","198.63","190.82","198.78","189.51","3.27M","4.55%"
"Dec 24, 2018","189.99","193.90","195.33","189.80","2.03M","-2.33%"
"Dec 21, 2018","194.52","197.16","200.70","194.32","5.08M","-1.32%"
"Dec 20, 2018","197.13","200.33","200.70","193.68","4.25M","-2.13%"
"Dec 19, 2018","201.41","203.50","207.00","199.86","3.37M","-0.78%"
"Dec 18, 2018","202.99","203.09","204.67","201.57","3.31M","0.38%"
"Dec 17, 2018","202.23","206.68","208.00","200.66","4.74M","-2.33%"
"Dec 14, 2018","207.06","218.00","219.00","205.51","8.82M","-8.59%"
"Dec 13, 2018","226.51","228.84","229.62","225.48","2.17M","-0.57%"
"Dec 12, 2018","227.80","228.35","230.45","227.07","2.89M","0.57%"
"Dec 11, 2018","226.50","225.12","227.25","224.00","2.47M","1.72%"
"Dec 10, 2018","222.66","224.54","225.20","219.11","2.65M","-0.98%"
"Dec 07, 2018","224.86","233.15","233.81","223.03","2.88M","-3.58%"
"Dec 06, 2018","233.20","227.94","233.86","226.60","4.03M","3.03%"
"Dec 04, 2018","226.35","232.11","233.30","225.56","3.42M","-2.47%"
"Dec 03, 2018","232.08","230.72","232.20","228.21","2.48M","0.35%"
"Nov 30, 2018","231.28","231.69","233.39","229.70","2.76M","0.12%"
"Nov 29, 2018","231.00","229.00","231.59","228.36","1.48M","0.29%"
"Nov 28, 2018","230.34","222.78","230.46","222.19","2.77M","3.29%"
"Nov 27, 2018","223.01","219.37","223.12","218.38","2.37M","1.62%"
"Nov 26, 2018","219.45","222.85","223.48","218.90","2.21M","-0.28%"
"Nov 23, 2018","220.06","218.10","221.18","217.66","1.01M","0.68%"
"Nov 21, 2018","218.57","220.56","222.03","217.45","2.04M","-0.34%"
"Nov 20, 2018","219.31","224.92","225.00","218.05","3.70M","-4.12%"
"Nov 19, 2018","228.74","231.61","233.50","227.81","1.95M","-0.99%"
"Nov 16, 2018","231.02","229.30","231.12","226.52","2.82M","0.47%"
"Nov 15, 2018","229.94","232.32","232.65","227.00","2.72M","-1.44%"
"Nov 14, 2018","233.31","237.12","237.12","231.71","1.90M","-0.35%"
"Nov 13, 2018","234.14","234.75","236.42","232.77","1.55M","-0.15%"
"Nov 12, 2018","234.48","237.64","239.20","234.13","2.30M","-1.37%"
"Nov 09, 2018","237.74","237.97","240.26","237.07","2.26M","-0.40%"
"Nov 08, 2018","238.70","238.51","239.80","237.03","2.14M","-0.69%"
